时间,qx,qy,qz,qw
0.00,-0.4151751,-0.4151751,0.5723894,0.5723894
0.02,-0.4006028,-0.4291258,0.5906202,0.5536571
0.04,-0.3854549,-0.4424123,0.6083173,0.5344586
0.06,-0.3697802,-0.4549955,0.6254517,0.5148319
0.08,-0.3536300,-0.4668400,0.6419984,0.4948175
0.10,-0.3370576,-0.4779145,0.6579360,0.4744577
0.12,-0.3201180,-0.4881921,0.6732471,0.4537966
0.14,-0.3028673,-0.4976498,0.6879184,0.4328791
0.16,-0.2853625,-0.5062693,0.7019407,0.4117511
0.18,-0.2676606,-0.5140365,0.7153087,0.3904584
0.20,-0.2498187,-0.5209415,0.7280213,0.3690469
0.22,-0.2318932,-0.5269786,0.7400810,0.3475618
0.24,-0.2139396,-0.5321463,0.7514940,0.3260475
0.26,-0.1960122,-0.5364465,0.7622700,0.3045470
0.28,-0.1781637,-0.5398851,0.7724216,0.2831018
0.30,-0.1604448,-0.5424711,0.7819646,0.2617518
0.32,-0.1429043,-0.5442166,0.7909171,0.2405346
0.34,-0.1255887,-0.5451366,0.7992994,0.2194858
0.36,-0.1085421,-0.5452486,0.8071339,0.1986388
0.38,-0.0918061,-0.5445723,0.8144446,0.1780243
0.40,-0.0754197,-0.5431293,0.8212565,0.1576710
0.42,-0.0594193,-0.5409431,0.8275958,0.1376049
0.44,-0.0438386,-0.5380385,0.8334892,0.1178494
0.46,-0.0287088,-0.5344417,0.8389637,0.0984260
0.48,-0.0140585,-0.5301798,0.8440467,0.0793533
0.50,0.0000864,-0.5252808,0.8487649,0.0606481
0.52,0.0137022,-0.5197733,0.8531451,0.0423248
0.54,0.0267679,-0.5136864,0.8572133,0.0243958
0.56,0.0392645,-0.5070498,0.8609945,0.0068716
0.58,-0.0511755,0.4998931,-0.8645132,0.0102390
0.60,-0.0624865,0.4922465,-0.8677924,0.0269291
0.62,-0.0731851,0.4841398,-0.8708541,0.0431933
0.64,-0.0832611,0.4756032,-0.8737190,0.0590275
0.66,-0.0927062,0.4666667,-0.8764063,0.0744291
0.68,-0.1015139,0.4573600,-0.8789340,0.0893966
0.70,-0.1096797,0.4477130,-0.8813184,0.1039297
0.72,-0.1172008,0.4377551,-0.8835744,0.1180288
